codigo,nombre,codigo_provincia
31206,Entre Ríos,312
31301,Mizque,313
31302,Vila Vila,313
31303,Alalay,313
31401,Punata,314
31402,Villa Rivero,314
31403,San Benito,314
31404,Tacachi,314
31405,Cuchumuela,314
31501,Bolívar,315
31601,Tiraque,316
31602,Shinahota,316
40101,Oruro,401
40102,Caracollo,401
40103,El Choro,401
40104,Paria,401
40201,Challapata,402
40202,Quillacas,402
40301,Corque,403
40302,Choquecota,403
40401,Curahuara de Carangas,404
40402,Turco,404
40501,Huachacalla,405
40502,Escara,405
40503,Cruz de Machacamarca,405
40504,Yunguyo de Litoral,405
40505,Esmeralda,405
40601,Poopó,406
40602,Pazña,406
40603,Antequera,406
40701,Huanuni,407
40702,Machacamarca,407
40801,Salinas de Garci Mendoza,408
40802,Pampa Aullagas,408
40901,Sabaya,409
40902,Coipasa,409
40903,Chipaya,409
41001,Toledo,410
41101,Eucaliptus,411
41201,Santiago de Andamarca,412
41202,Belén de Andamarca,412
41301,Totora,413
41401,Santiago de Huari,414
41501,La Rivera,415
41502,Todos Santos,415
41503,Carangas,415
41601,Huayllamarca,416
50101,Potosí,501
50102,Tinguipaya,501
50103,Yocalla,501
50104,Urmiri,501
50201,Uncía,502
50202,Chayanta,502
50203,Llallagua,502
50204,Chuquihuta,502
50301,Betanzos,503
50302,Chaquí,503
50303,Tacobamba,503
50401,Colquechaca,504
50402,Ravelo,504
50403,Pocoata,504
50404,Ocurí,504
50405,San Pedro de Macha,504
50501,San Pedro de Buena Vista,505
50502,Toro Toro,505
50601,Cotagaita,506
50602,Vitichi,506
50701,Sacaca,507
50702,Caripuyo,507
50801,Tupiza,508
50802,Atocha,508
50901,Colcha K,509
50902,San Pedro de Quemes,509
51001,San Pablo de Lípez,510
51002,Mojinete,510
51003,San Antonio de Esmoruco,510
51101,Puna,511
51102,Caiza D,511
51103,Ckochas,511
51201,Uyuni,512
51202,Tomave,512
51203,Porco,512
51301,Arampampa,513
51302,Acasio,513
51401,Llica,514
51402,Tahua,514
51501,Villazón,515
51601,San Agustín,516
60101,Tarija,601
60201,Padcaya,602
60202,Bermejo,602
60301,Yacuiba,603
60302,Caraparí,603
60303,Villa Montes,603
60401,Uriondo,604
60402,Yunchará,604
60501,San Lorenzo,605
60502,El Puente,605
60601,Entre Ríos,606
70101,Santa Cruz de la Sierra,701
70102,Cotoca,701
70103,Porongo,701
70104,La Guardia,701
70105,El Torno,701
70201,Warnes,702
70202,Okinawa Uno,702
70301,San Ignacio de Velasco,703
70302,San Miguel de Velasco,703
70303,San Rafael de Velasco,703
70401,Buena Vista,704
70402,San Carlos,704
70403,Villa Yapacaní,704
70404,San Juan de Yapacaní,704
70501,San José de Chiquitos,705
70502,Pailón,705
70503,Roboré,705
70601,Portachuelo,706
70602,Santa Rosa del Sara,706
70603,Colpa Bélgica,706
70701,Lagunillas,707
70702,Charagua,707
70703,Cabezas,707
70704,Cuevo,707
70705,Gutiérrez (Kereimba Iyambae),707
70706,Camiri,707
70707,Boyuibe,707
70801,Vallegrande,708
70802,El Trigal,708
70803,Moro Moro,708
70804,Postrervalle,708
70805,Pucará,708
70901,Samaipata,709
70902,Pampagrande,709
70903,Mairana,709
70904,Quirusillas,709
71001,Montero,710
71002,General Saavedra,710
71003,Mineros,710
71004,Fernández Alonso,710
71005,San Pedro,710
71101,Concepción,711
71102,San Javier,711
71103,San Julián,711
71104,San Ramón,711
71105,San Antonio de Lomerío,711
71106,Cuatro Cañadas,711
71201,San Matías,712
71301,Comarapa,713
71302,Saipina,713
71401,Puerto Suárez,714
71402,Puerto Quijarro,714
71403,El Carmen Rivero Tórrez,714
71501,Ascensión de Guarayos,715
71502,Urubichá,715
71503,El Puente,715
80101,Trinidad,801
80102,San Javier,801
80201,Riberalta,802
80202,Guayaramerín,802
80301,Reyes,803
80302,San Borja,803
80303,Santa Rosa,803
80304,Rurrenabaque,803
80401,Santa Ana del Yacuma,804
80402,Exaltación,804
80501,San Ignacio de Moxos,805
80601,Loreto,806
80602,San Andrés,806
80701,San Joaquín,807
80702,San Ramón,807
80703,Puerto Siles,807
80801,Magdalena,808
80802,Baures,808
80803,Huacaraje,808
90101,Cobija,901
90102,Porvenir,901
90103,Bolpebra,901
90104,Bella Flor,901
90201,Puerto Rico,902
90202,San Pedro,902
90203,Filadelfia,902
90301,Puerto Gonzalo Moreno,903
90302,San Lorenzo,903
90303,Sena,903
90401,Santa Rosa del Abuná,904
90402,Ingavi,904
90501,Nueva Esperanza,905
90502,Villa Nueva,905
90503,Santos Mercado,905
